,sensor1,sensor2
867,51.0,48.0
868,51.0,48.0
869,51.0,48.0
870,51.0,48.0
871,51.0,48.0
872,51.0,48.0
873,51.0,48.0
874,51.0,48.0
875,51.0,48.0
876,51.0,48.0
877,51.0,48.0
878,51.0,48.0
879,51.0,48.0
880,51.0,48.0
881,51.0,48.0
882,51.0,48.0
883,51.0,48.0
884,51.0,48.0
885,51.0,48.0
886,51.0,48.0
887,51.0,48.0
888,51.0,48.0
889,51.0,48.0
890,51.0,48.0
891,51.0,48.0
892,51.0,48.0
893,51.0,48.0
894,51.0,48.0
895,51.0,48.0
896,51.0,48.0
897,51.0,48.0
898,51.0,48.0
899,51.0,48.0
900,51.0,48.0
901,51.0,48.0
902,51.0,48.0
903,51.0,48.0
904,51.0,48.0
905,51.0,48.0
906,51.0,48.0
907,51.0,48.0
908,51.0,48.0
909,51.0,48.0
910,51.0,48.0
911,51.0,48.0
912,51.0,48.0
913,51.0,48.0
914,51.0,48.0
915,51.0,48.0
916,51.0,48.0
917,51.0,48.0
918,51.0,48.0
919,51.0,48.0
920,51.0,48.0
921,51.0,48.0
922,51.0,48.0
923,51.0,48.0
924,51.0,48.0
925,51.0,48.0
926,51.0,48.0
927,51.0,48.0
928,51.0,48.0
929,51.0,48.0
930,51.0,48.0
931,51.0,48.0
932,51.0,48.0
933,51.0,48.0
934,51.0,48.0
935,51.0,48.0
936,51.0,48.0
937,51.0,48.0
938,51.0,48.0
939,51.0,48.0
940,51.0,48.0
941,51.0,48.0
942,51.0,48.0
943,51.0,48.0
944,51.0,48.0
945,51.0,48.0
946,51.0,48.0
947,51.0,48.0
948,51.0,48.0
949,51.0,48.0
950,51.0,48.0
951,51.0,48.0
952,51.0,48.0
953,51.0,48.0
954,51.0,48.0
955,51.0,48.0
956,51.0,48.0
957,51.0,48.0
958,51.0,48.0
959,51.0,48.0
960,51.0,48.0
961,51.0,48.0
962,51.0,48.0
963,51.0,48.0
964,51.0,48.0
965,51.0,48.0
966,51.0,48.0
967,51.0,48.0
968,51.0,48.0
969,51.0,48.0
970,51.0,48.0
971,51.0,48.0
972,51.0,48.0
973,51.0,48.0
974,51.0,48.0
975,51.0,48.0
976,51.0,48.0
977,51.0,48.0
978,51.0,48.0
979,51.0,48.0
980,51.0,48.0
981,51.0,48.0
982,51.0,48.0
983,51.0,48.0
984,51.0,48.0
985,51.0,48.0
986,51.0,48.0
987,51.0,48.0
988,51.0,48.0
989,51.0,48.0
990,51.0,48.0
991,51.0,48.0
992,51.0,48.0
993,51.0,48.0
994,51.0,48.0
995,51.0,48.0
996,51.0,48.0
997,51.0,48.0
998,51.0,48.0
999,51.0,48.0
1000,51.0,48.0
1001,51.0,48.0
1002,51.0,48.0
1003,51.0,48.0
1004,51.0,48.0
1005,51.0,48.0
1006,51.0,48.0
1007,51.0,48.0
1008,51.0,48.0
1009,51.0,48.0
1010,51.0,48.0
1011,51.0,48.0
1012,51.0,48.0
1013,51.0,48.0
1014,51.0,48.0
1015,51.0,48.0
1016,51.0,48.0
1017,51.0,48.0
1018,51.0,48.0
1019,51.0,48.0
1020,51.0,48.0
1021,51.0,48.0
1022,51.0,48.0
1023,51.0,48.0
1024,51.0,48.0
1025,51.0,48.0
1026,51.0,48.0
1027,51.0,48.0
1028,51.0,48.0
1029,51.0,48.0
1030,51.0,48.0
1031,51.0,48.0
1032,51.0,48.0
1033,51.0,48.0
1034,51.0,48.0
1035,51.0,48.0
1036,51.0,48.0
1037,51.0,48.0
1038,51.0,48.0
1039,51.0,48.0
1040,51.0,48.0
1041,51.0,48.0
1042,51.0,48.0
1043,51.0,48.0
1044,51.0,48.0
1045,51.0,48.0
1046,51.0,48.0
1047,51.0,48.0
1048,51.0,48.0
1049,51.0,48.0
1050,51.0,48.0
1051,51.0,48.0
1052,51.0,48.0
1053,51.0,48.0
1054,51.0,48.0
1055,51.0,48.0
1056,51.0,48.0
1057,51.0,48.0
1058,51.0,48.0
1059,51.0,48.0
1060,51.0,48.0
1061,51.0,47.99469874604952
1062,51.0,47.794882250993965
1063,51.0,47.59506575593841
1064,51.0,47.39524926088285
1065,51.0,47.19543276582729
1066,51.0,47.0
1067,51.0,47.0
1068,51.0,47.0
1069,51.0,47.0
1070,51.0,47.0
1071,51.0,47.0
1072,51.0,47.0
1073,51.0,47.0
1074,51.0,47.0
1075,51.0,47.0
1076,51.0,47.0
1077,51.0,47.0
1078,51.0,47.0
1079,51.0,47.0
1080,51.0,47.0
1081,51.0,47.0
1082,51.0,47.0
1083,51.0,47.0
1084,51.0,47.0
1085,51.0,47.0
1086,51.0,47.0
1087,51.0,47.0
1088,51.0,47.0
1089,51.0,47.0
1090,51.0,47.0
1091,51.0,47.0
1092,51.0,47.0
1093,51.0,47.0
1094,51.0,47.0
1095,51.0,47.0
1096,51.0,47.0
1097,51.0,47.0
1098,51.0,47.0
1099,51.0,47.0
1100,51.0,47.0
1101,51.0,47.0
1102,51.0,47.0
1103,51.0,47.0
1104,51.0,47.0
1105,51.0,47.0
1106,51.0,47.0
1107,51.0,47.0
1108,51.0,47.0
1109,51.0,47.0
1110,51.0,47.0
1111,51.0,47.0
1112,51.0,47.0
1113,51.0,47.0
1114,51.0,47.0
1115,51.0,47.0
1116,51.0,47.0
1117,51.0,47.0
1118,51.0,47.0
1119,51.0,47.0
1120,51.0,47.0
1121,51.0,47.0
1122,51.0,47.0
1123,51.0,47.0
1124,51.0,47.0
1125,51.0,47.0
1126,51.0,47.0
1127,51.0,47.0
1128,51.0,47.0
1129,51.0,47.0
1130,51.0,47.0
1131,51.0,47.0
1132,51.0,47.0
1133,51.0,47.0
1134,51.0,47.0
1135,51.0,47.0
1136,51.0,47.0
1137,51.0,47.0
1138,51.0,47.0
1139,51.0,47.0
1140,51.0,47.0
1141,51.0,47.0
1142,51.0,47.0
1143,51.0,47.0
1144,51.0,47.0
1145,51.0,47.0
1146,51.0,47.0
1147,51.0,47.0
1148,51.0,47.0
1149,51.0,47.0
1150,51.0,47.0
1151,51.0,47.0
